generation,best_fitness,mean_fitness
1.000000000000000000e+00,8.436770211667083963e-01,2.969581655528950037e-01
2.000000000000000000e+00,1.053000177346979038e+00,7.392082213603223817e-01
3.000000000000000000e+00,1.345772138760983117e+00,8.538095640298886124e-01
4.000000000000000000e+00,1.620348887012639905e+00,9.567309735637516965e-01
5.000000000000000000e+00,1.829132666938020346e+00,1.237370311570210379e+00
6.000000000000000000e+00,2.335541973063949950e+00,1.520903589435532499e+00
7.000000000000000000e+00,2.468510040031092423e+00,2.108618918011079924e+00
8.000000000000000000e+00,2.739182126552248686e+00,1.830995531015585431e+00
9.000000000000000000e+00,2.766378618712792115e+00,1.958195413313481570e+00
1.000000000000000000e+01,2.919197908275062314e+00,2.049680523707175794e+00
1.100000000000000000e+01,3.069269181461058871e+00,1.858420661714034638e+00
1.200000000000000000e+01,3.190673979395934889e+00,2.111823662278565106e+00
1.300000000000000000e+01,3.588320781062289466e+00,2.385961861804115181e+00
1.400000000000000000e+01,4.817406337484494649e+00,3.253446641866323041e+00
1.500000000000000000e+01,5.721001971292285049e+00,3.258181326348964291e+00
1.600000000000000000e+01,5.993169924564866413e+00,3.449448766187496407e+00
1.700000000000000000e+01,5.993169924564866413e+00,3.476328764967089313e+00
1.800000000000000000e+01,5.993169924564866413e+00,3.537954225835497457e+00
1.900000000000000000e+01,5.993169924564866413e+00,3.520095981362486803e+00
2.000000000000000000e+01,6.373596364434780170e+00,3.986945180886796614e+00
2.100000000000000000e+01,6.373596364434780170e+00,3.865148319048067549e+00
2.200000000000000000e+01,6.543300752352447347e+00,4.717639508142354998e+00
2.300000000000000000e+01,6.543300752352447347e+00,2.932916812556345398e+00
2.400000000000000000e+01,6.778594952569158671e+00,4.641069235095243606e+00
2.500000000000000000e+01,6.778594952569158671e+00,3.693087792337800046e+00
2.600000000000000000e+01,6.827569779131645866e+00,4.034497430988194466e+00
2.700000000000000000e+01,6.827569779131645866e+00,3.966869720340362448e+00
2.800000000000000000e+01,6.827569779131645866e+00,3.998707378343328678e+00
2.900000000000000000e+01,6.827569779131645866e+00,4.744358920634097032e+00
3.000000000000000000e+01,6.827569779131645866e+00,3.801609335687936131e+00
3.100000000000000000e+01,6.827569779131645866e+00,3.900432918444201924e+00
3.200000000000000000e+01,6.827569779131645866e+00,4.322073166490200791e+00
3.300000000000000000e+01,6.827569779131645866e+00,4.775945006879712906e+00
3.400000000000000000e+01,6.827569779131645866e+00,3.966049909430510390e+00
3.500000000000000000e+01,6.827569779131645866e+00,3.950886944535450418e+00
3.600000000000000000e+01,6.827569779131645866e+00,4.158520608468798230e+00
3.700000000000000000e+01,6.827569779131645866e+00,4.454964257555691809e+00
3.800000000000000000e+01,6.827569779131645866e+00,3.830366897539074333e+00
3.900000000000000000e+01,6.827569779131645866e+00,4.972777139773913113e+00
4.000000000000000000e+01,6.827569779131645866e+00,3.819979428217914030e+00
4.100000000000000000e+01,6.827569779131645866e+00,3.472516506152917515e+00
4.200000000000000000e+01,6.827569779131645866e+00,4.286282546736623900e+00
4.300000000000000000e+01,6.827569779131645866e+00,3.246759541287450812e+00
4.400000000000000000e+01,6.827569779131645866e+00,4.021724097661222075e+00
4.500000000000000000e+01,6.827569779131645866e+00,4.480904176329667976e+00
4.600000000000000000e+01,6.827569779131645866e+00,3.708648634177427628e+00
4.700000000000000000e+01,6.827569779131645866e+00,4.188257801337267772e+00
4.800000000000000000e+01,6.827569779131645866e+00,4.446520861231355148e+00
4.900000000000000000e+01,6.827569779131645866e+00,4.796189822651916401e+00
5.000000000000000000e+01,6.827569779131645866e+00,3.428627542291634800e+00
5.100000000000000000e+01,6.827569779131645866e+00,4.816544559916992263e+00
5.200000000000000000e+01,6.827569779131645866e+00,4.102650688359726239e+00
5.300000000000000000e+01,6.827569779131645866e+00,4.103731416240298913e+00
5.400000000000000000e+01,6.827569779131645866e+00,3.814657849156660951e+00
5.500000000000000000e+01,6.827569779131645866e+00,3.842212314111841387e+00
5.600000000000000000e+01,6.827569779131645866e+00,4.387208758588691637e+00
5.700000000000000000e+01,6.827569779131645866e+00,4.938755140878160255e+00
5.800000000000000000e+01,6.827569779131645866e+00,3.459580829413484881e+00
5.900000000000000000e+01,6.827569779131645866e+00,4.032658836297077443e+00
6.000000000000000000e+01,6.827569779131645866e+00,3.813917253805355845e+00
6.100000000000000000e+01,6.827569779131645866e+00,3.072672088657859124e+00
6.200000000000000000e+01,6.827569779131645866e+00,3.670718739090625071e+00
6.300000000000000000e+01,6.827569779131645866e+00,3.730886239286181905e+00
6.400000000000000000e+01,6.827569779131645866e+00,3.914036115257560233e+00
6.500000000000000000e+01,6.827569779131645866e+00,4.557236405851811334e+00
6.600000000000000000e+01,6.827569779131645866e+00,4.206999731713509050e+00
6.700000000000000000e+01,6.878241712445750444e+00,4.289047768344080858e+00
6.800000000000000000e+01,6.931317963163649232e+00,4.324701572662467797e+00
6.900000000000000000e+01,6.931317963163649232e+00,4.344691815554504899e+00
7.000000000000000000e+01,6.931317963163649232e+00,4.171701631189010051e+00
7.100000000000000000e+01,6.931317963163649232e+00,4.139056727258521917e+00
7.200000000000000000e+01,6.931317963163649232e+00,4.234003413131794069e+00
7.300000000000000000e+01,6.931317963163649232e+00,3.565679321767265098e+00
7.400000000000000000e+01,6.931317963163649232e+00,3.274890171976646336e+00
7.500000000000000000e+01,6.931317963163649232e+00,4.069243331483332504e+00
7.600000000000000000e+01,6.931317963163649232e+00,3.192262977959596348e+00
7.700000000000000000e+01,6.931317963163649232e+00,3.724552489448139880e+00
7.800000000000000000e+01,6.931317963163649232e+00,3.150298475239279306e+00
7.900000000000000000e+01,6.931317963163649232e+00,3.828298012612650236e+00
8.000000000000000000e+01,6.931317963163649232e+00,4.000359806913957428e+00
8.100000000000000000e+01,6.934695145424999652e+00,4.407531862833684144e+00
8.200000000000000000e+01,6.934695145424999652e+00,3.499181855590561607e+00
8.300000000000000000e+01,6.934695145424999652e+00,4.830594370423773931e+00
8.400000000000000000e+01,6.934695145424999652e+00,3.856398653584645508e+00
8.500000000000000000e+01,6.934695145424999652e+00,4.096904930404695833e+00
8.600000000000000000e+01,6.934695145424999652e+00,3.891572755727138677e+00
8.700000000000000000e+01,6.934695145424999652e+00,3.992616809683732448e+00
8.800000000000000000e+01,6.934695145424999652e+00,5.157060297631355539e+00
8.900000000000000000e+01,6.934695145424999652e+00,4.380456711182753260e+00
9.000000000000000000e+01,6.934695145424999652e+00,4.018938355746713320e+00
9.100000000000000000e+01,6.934695145424999652e+00,4.397856285286865230e+00
9.200000000000000000e+01,6.934695145424999652e+00,4.718831412015949134e+00
9.300000000000000000e+01,6.934695145424999652e+00,4.455533599094580133e+00
9.400000000000000000e+01,6.934695145424999652e+00,3.683782191655051719e+00
9.500000000000000000e+01,6.934695145424999652e+00,4.187545172178361419e+00
9.600000000000000000e+01,6.934695145424999652e+00,3.856131201085154281e+00
9.700000000000000000e+01,6.934695145424999652e+00,3.668229925214276932e+00
9.800000000000000000e+01,6.934695145424999652e+00,4.792412502795196261e+00
9.900000000000000000e+01,6.934695145424999652e+00,4.334514884755598096e+00
1.000000000000000000e+02,6.934695145424999652e+00,4.523377042096796252e+00
